pc_received_at_utc,sequence,payload_bytes,rssi_dbm,snr_db,is_duplicate,received_unique,sequence_gaps,duplicates_total,out_of_order_total
2026-09-07T14:14:47.711+00:00,156,24,-111.0,8.0,0,1,0,0,0
2026-09-07T14:14:49.881+00:00,157,24,-114.0,7.25,0,2,0,0,0
2026-09-07T14:14:52.051+00:00,158,24,-114.0,7.0,0,3,0,0,0
2026-09-07T14:14:54.221+00:00,159,24,-113.0,7.75,0,4,0,0,0
2026-09-07T14:14:56.401+00:00,160,24,-112.0,8.0,0,5,0,0,0
2026-09-07T14:14:58.574+00:00,161,24,-112.0,8.0,0,6,0,0,0
2026-09-07T14:15:00.744+00:00,162,24,-111.0,8.75,0,7,0,0,0
2026-09-07T14:15:02.914+00:00,163,24,-113.0,7.75,0,8,0,0,0
2026-09-07T14:15:05.084+00:00,164,24,-112.0,8.0,0,9,0,0,0
2026-09-07T14:15:07.254+00:00,165,24,-112.0,8.0,0,10,0,0,0
2026-09-07T14:15:09.425+00:00,166,24,-112.0,7.25,0,11,0,0,0
2026-09-07T14:15:11.594+00:00,167,24,-111.0,8.25,0,12,0,0,0
2026-09-07T14:15:13.774+00:00,168,24,-111.0,8.0,0,13,0,0,0
2026-09-07T14:15:15.944+00:00,169,24,-112.0,8.5,0,14,0,0,0
2026-09-07T14:15:18.114+00:00,170,24,-112.0,8.25,0,15,0,0,0
2026-09-07T14:15:20.295+00:00,171,24,-112.0,8.0,0,16,0,0,0
2026-09-07T14:15:22.465+00:00,172,24,-112.0,7.75,0,17,0,0,0
2026-09-07T14:15:24.644+00:00,173,24,-112.0,8.0,0,18,0,0,0
2026-09-07T14:15:26.825+00:00,174,24,-112.0,8.5,0,19,0,0,0
2026-09-07T14:15:29.005+00:00,175,24,-112.0,8.0,0,20,0,0,0
2026-09-07T14:15:31.175+00:00,176,24,-112.0,8.25,0,21,0,0,0
2026-09-07T14:15:33.344+00:00,177,24,-112.0,7.75,0,22,0,0,0
2026-09-07T14:15:35.514+00:00,178,24,-112.0,7.5,0,23,0,0,0
2026-09-07T14:15:37.685+00:00,179,24,-112.0,8.0,0,24,0,0,0
2026-09-07T14:15:39.854+00:00,180,24,-112.0,8.0,0,25,0,0,0
2026-09-07T14:15:42.025+00:00,181,24,-112.0,8.25,0,26,0,0,0
2026-09-07T14:15:44.195+00:00,182,24,-112.0,8.25,0,27,0,0,0
2026-09-07T14:15:46.365+00:00,183,24,-112.0,8.0,0,28,0,0,0
2026-09-07T14:15:48.535+00:00,184,24,-112.0,8.0,0,29,0,0,0
2026-09-07T14:15:50.705+00:00,185,24,-112.0,7.75,0,30,0,0,0
2026-09-07T14:15:52.875+00:00,186,24,-112.0,8.0,0,31,0,0,0
2026-09-07T14:15:55.045+00:00,187,24,-113.0,7.5,0,32,0,0,0
2026-09-07T14:15:57.215+00:00,188,24,-113.0,7.5,0,33,0,0,0
2026-09-07T14:15:59.395+00:00,189,24,-113.0,8.0,0,34,0,0,0
2026-09-07T14:16:01.565+00:00,190,24,-111.0,8.25,0,35,0,0,0
2026-09-07T14:16:03.735+00:00,191,24,-113.0,7.25,0,36,0,0,0
2026-09-07T14:16:05.904+00:00,192,24,-113.0,7.25,0,37,0,0,0
2026-09-07T14:16:08.085+00:00,193,24,-113.0,7.25,0,38,0,0,0
2026-09-07T14:16:10.255+00:00,194,24,-114.0,7.0,0,39,0,0,0
2026-09-07T14:16:12.425+00:00,195,24,-113.0,7.5,0,40,0,0,0
